ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E3_I_0047;03_05_04;volle Fähigkeit;full ability
E3_I_0065;03_10_04;Nein;No
E3_I_0066;03_10_01;Ja;Yes
E3_I_0067;03_10_09;n.b.;n/a
E3_I_0068;04_01_01;keine Fähigkeit;no ability
E3_I_0069;04_01_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0070;04_01_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0071;04_01_04;volle Fähigkeit;full ability
E3_I_0073;04_02_01;fehlende Kontrolle;no control
E3_I_0074;04_02_02;selten kontrolliert;rarely under control
E3_I_0075;04_02_03;meistens kontrolliert;mostly under control
E3_I_0076;04_02_04;vollständige Kontrolle;complete control
E3_I_0078;04_03_01;keine Fähigkeit;no ability
E3_I_0079;04_03_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0080;04_03_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0081;04_03_04;volle Fähigkeit;full ability
E3_I_0083;04_04_01;fehlende Kontrolle;no control
E3_I_0084;04_04_02;selten kontrolliert;rarely under control
E3_I_0085;04_04_03;meistens kontrolliert;mostly under control
E3_I_0086;04_04_04;vollständige Kontrolle;complete control
E3_I_0088 ;04_05_04;Nein;No
E3_I_0089 ;04_05_01;Ja;Yes
E3_I_0091;04_09_04;Nein;No
E3_I_0092;04_09_01;Ja;Yes
E3_I_0094;04_10_04;Nein;No
E3_I_0095;04_10_01;Ja;Yes
E3_I_0102;05_01_01;keine Fähigkeit;no ability
E3_I_0103;05_01_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0104;05_01_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0105;05_01_04;volle Fähigkeit;full ability
E3_I_0107;05_02_01;keine Fähigkeit;no ability
E3_I_0108;05_02_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0109;05_02_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0110;05_02_04;volle Fähigkeit;full ability
E3_I_0112;05_03_01;keine Fähigkeit;no ability
E3_I_0113;05_03_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0114;05_03_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0115;05_03_04;volle Fähigkeit;full ability
E3_I_0117;05_04_01;keine Fähigkeit;no ability
E3_I_0118;05_04_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0119;05_04_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0120;05_04_04;volle Fähigkeit;full ability
E3_I_0122;06_01_01;komatös;comatose
E3_I_0123;06_01_02;soporös;soporous
E3_I_0124;06_01_03;somnolent;somnolent
E3_I_0125;06_01_04;wach;awake
E3_I_0126;06_02_01;zu keiner Qualität;to none of the qualities
E3_I_0127;06_02_02;zu einer oder zwei Qualitäten;to one or two qualities
E3_I_0128;06_02_03;zu drei Qualitäten;to three qualities
E3_I_0129;06_02_04;zu allen Qualitäten;to all qualities
E3_I_0130;06_02_09;n.b.;n/a
E3_I_0160;08_01_04;keine Beeinträchtigung;no impairment
E3_I_0161;08_01_01;beeinträchtigt;impaired
E3_I_0162;08_01_09;n.b.;n/a
E3_I_0163;08_02_04;keine Veränderung;no change
E3_I_0164;08_02_01;verändert;changed
E3_I_0165;08_02_09;n.b.;n/a
E3_I_0166;11_01_04;Nein;No
E3_I_0167;11_01_01;Ja;Yes
E3_I_0168;11_02_04;Nein;No
E3_I_0169;11_02_01;Ja;Yes
E3_I_0170;11_02_09;n.b.;n/a
E3_I_0171;11_03_04;Nein;No
E3_I_0172;11_03_01;Ja;Yes
E3_I_0175;11_06_01;Ja;Yes
E3_I_0176;11_06_04;Nein;No
E3_I_0178;10_01_01;fehlt;absent
E3_I_0179;10_01_02;eingeschränkt;restricted
E3_I_0180;10_01_03;leicht eingeschränkt;slightly restricted
E3_I_0181;10_01_04;vorhanden;present
E3_I_0183;10_04_41;starke Schmerzen (VAS 7-10);severe pain (VAS 7-10)
E3_I_0184;10_04_42;mittelstarke Schmerzen (VAS 4-6);medium pain intensity (VAS 4-6)
E3_I_0185;10_04_43;leichte Schmerzen (VAS 1-3);slight pain (VAS 1-3)
E3_I_0186;10_04_44;keine Schmerzen;no pain
E3_I_0188;10_03_04;Nein;No
E3_I_0189;10_03_01;Ja;Yes
E3_I_0190;10_03_09;n.b.;n/a
E3_I_0196;02_02_99;[Beschreibung - Freitext];Description – Free text
E3_I_0203;03_03_01;sehr gering ( bis 25% TB);very low (less than 25% RDI)
E3_I_0204;03_03_02;gering (bis 50% TB);low (up to 50% RDI)
E3_I_0205;03_03_03;ausreichend (bis 75% TB);sufficient (up to 75% RDI)
E3_I_0206;03_03_04;gut (über 75% TB);good (over 75% RDI)
E3_I_0207;01_09_01;fehlende Körperkraft/ Energie;insufficient physical strength/ energy
E3_I_0208;01_09_02;nur einzelne kleine Aktivitäten möglich;only small individual activities are possible
E3_I_0209;01_09_03;einzelne umfangreichere Aktivitäten möglich;occasional more extensive activities possible
